ticker,company_name,sector,rating_agency,rating,rating_numeric,fiscal_year,source,liquid,cumprof,profitab,leverage,total_assets,total_liabilities,total_equity,has_financials,rating_category
8230.SR,Al Rajhi Takaful,Insurance,Moodys,A-,15,2024,argaam_oct2025,,0.05445733729326728,,0.20789734607297186,12087407000.0,10006982000.0,2080425000.0,True,A
8240.SR,Chubb Arabia,Insurance,S&P,AA,19,2024,argaam_oct2025,,0.08303514061010403,,1.94688756321226,687820272.0,233405672.0,454414600.0,True,AA
8250.SR,GIG,Insurance,Financial Analytics,A,16,2024,argaam_oct2025,,0.1440529784700126,,0.6477656255850178,2772598000.0,1682641000.0,1089957000.0,True,A
8280.SR,LIVA,Insurance,Moodys,BBB,13,2024,argaam_oct2025,,-0.02196858630523058,,0.7615467722279363,1019046000.0,578495000.0,440551000.0,True,BBB
8300.SR,Wataniya,Insurance,S&P,A-,15,2024,argaam_oct2025,,0.027728307090708264,,0.3997107241861331,2134822000.0,1525188000.0,609634000.0,True,A
2070.SR,Perfect Presentation (2P),Software & Services,Financial Analytics,BBB+,14,2024,argaam_oct2025,0.08014658693858424,-0.027845174781008616,0.038860957718618645,0.5492478736770672,4319348000.0,2788029000.0,1531319000.0,True,BBB
7010.SR,Saudi Telecom (STC),Telecom,Moodys,AA-,18,2024,argaam_oct2025,0.21047846027453143,0.23935331473546728,0.08321887784771018,1.3570190120196448,160638143000.0,68153096000.0,92485047000.0,True,AA
7010.SR,Saudi Telecom (STC),Telecom,Fitch,A+,17,2024,argaam_oct2025,0.21047846027453143,0.23935331473546728,0.08321887784771018,1.3570190120196448,160638143000.0,68153096000.0,92485047000.0,True,A
7010.SR,Saudi Telecom (STC),Telecom,S&P,A+,17,2024,argaam_oct2025,0.21047846027453143,0.23935331473546728,0.08321887784771018,1.3570190120196448,160638143000.0,68153096000.0,92485047000.0,True,A
7010.SR,Saudi Telecom (STC),Telecom,Tassnief,AAA,21,2024,argaam_oct2025,0.21047846027453143,0.23935331473546728,0.08321887784771018,1.3570190120196448,160638143000.0,68153096000.0,92485047000.0,True,AA
2081.SR,Alkhorayef Water & Power,Utilities,Financial Analytics,A-,15,2024,argaam_oct2025,0.1627404785684448,0.15365985214798808,0.12378131913374758,0.4839005363856031,2380380053.0,1604137201.0,776242852.0,True,A
2082.SR,ACWA Power,Utilities,Fitch,BBB-,12,2024,argaam_oct2025,0.09624598379690305,0.08565501437290976,0.05831499999314379,0.7461273149897591,56882706000.0,32576494000.0,24306212000.0,True,BBB
5110.SR,Saudi Electricity,Utilities,Moodys,AA-,18,2024,argaam_oct2025,-0.05082833356865925,0.07480473476080919,0.022115121164303073,0.8502550575355645,547014412000.0,295642706000.0,251371706000.0,True,AA
5110.SR,Saudi Electricity,Utilities,Fitch,A+,17,2024,argaam_oct2025,-0.05082833356865925,0.07480473476080919,0.022115121164303073,0.8502550575355645,547014412000.0,295642706000.0,251371706000.0,True,A
5110.SR,Saudi Electricity,Utilities,S&P,A+,17,2024,argaam_oct2025,-0.05082833356865925,0.07480473476080919,0.022115121164303073,0.8502550575355645,547014412000.0,295642706000.0,251371706000.0,True,A
4321.SR,Cenomi Centers,Real Estate,Fitch,BB,10,2024,argaam_oct2025,0.04045450158136625,0.27785494308220543,0.044563913916292615,0.891938328708021,31452545879.0,16624509056.0,14828036823.0,True,BB
4321.SR,Cenomi Centers,Real Estate,S&P,BB-,9,2024,argaam_oct2025,0.04045450158136625,0.27785494308220543,0.044563913916292615,0.891938328708021,31452545879.0,16624509056.0,14828036823.0,True,BB
4321.SR,Cenomi Centers,Real Estate,Financial Analytics,A-,15,2024,argaam_oct2025,0.04045450158136625,0.27785494308220543,0.044563913916292615,0.891938328708021,31452545879.0,16624509056.0,14828036823.0,True,A
9511.SR,Sumou Real Estate,Real Estate,Financial Analytics,BBB+,14,2024,argaam_oct2025,,,,,,,,False,BBB
7020.SR,Mobily,Telecom,Financial Analytics,AA,19,2024,argaam_oct2025,-0.02376921548648491,0.2907478348451415,0.09839198351355216,0.9610966369062894,38515028000.0,19639536000.0,18875492000.0,True,AA
7030.SR,Zain KSA,Telecom,Financial Analytics,A,16,2024,argaam_oct2025,-0.19438789362648082,0.05960339516029256,0.044824323297919307,0.6143248600692746,28135461000.0,17428624000.0,10706837000.0,True,A
9535.SR,Ladun Investment,Financial Services,Financial Analytics,BBB+,14,2024,argaam_oct2025,0.00584895805804586,0.051157432594480454,0.03411926780573487,0.2670089151055785,3012816441.0,2377896797.0,634919644.0,True,BBB
9596.SR,Quara Finance,Financial Services,Financial Analytics,BBB-,12,2024,argaam_oct2025,0.8077898269634161,0.12808404026280423,0.060336799472430695,1.098654151646499,877264082.0,418012697.0,459251385.0,True,BBB
9619.SR,Multi Business Group,Commercial Services,Financial Analytics,BB+,11,2024,argaam_oct2025,0.7788510408510891,0.2920126838050294,0.20904395728068315,3.27344370038947,115272349.0,26974112.0,88298237.0,True,BB
9578.SR,Atlas Elevators,Capital Goods,Financial Analytics,BB,10,2024,argaam_oct2025,0.5911443832815138,,0.10266789521706737,,118422492.0,118422492.0,,True,BB
9568.SR,Mayar Holding,Capital Goods,Financial Analytics,BBB,13,2024,argaam_oct2025,-0.34964638793279446,0.002173072310193956,0.07828823821899074,0.06805924327272045,543211100.0,508596413.0,34614687.0,True,BBB
